,pool_fees,url,PnL,APR,fee_APR,value,age,price_lwr,price_upr
0,0.30%,https://revert.finance/#/uniswap-position/mainnet/303732,106365.05,45.17,30.12,1046215.08,60.9,12.1445,13.6928
1,0.30%,https://revert.finance/#/uniswap-position/mainnet/307686,36387.81,25.4,25.5,1028372.08,54.9,13.6108,15.9086
2,0.05%,https://revert.finance/#/uniswap-position/mainnet/329104,13307.09,46.24,54.35,483201.55,21.6,14.6416,15.3001
3,0.30%,https://revert.finance/#/uniswap-position/mainnet/271241,20582.74,28.22,28.81,302677.7,87.8,12.0718,15.9086
4,0.05%,https://revert.finance/#/uniswap-position/mainnet/319247,4206.27,29.88,37.86,207121.89,24.7,13.3681,15.3308
5,0.30%,https://revert.finance/#/uniswap-position/mainnet/317861,3060.18,23.33,24.9,183889.71,26.0,13.3681,16.6908
6,0.30%,https://revert.finance/#/uniswap-position/mainnet/320938,2981.93,27.97,28.23,171629.71,22.7,13.7752,16.1006
7,0.30%,https://revert.finance/#/uniswap-position/mainnet/319824,1985.51,20.34,27.29,149806.21,23.9,12.9730,15.6248
8,0.30%,https://revert.finance/#/uniswap-position/mainnet/327120,2150.86,35.23,38.0,149191.29,14.9,14.1947,15.0724
9,0.30%,https://revert.finance/#/uniswap-position/mainnet/294276,5233.24,20.18,20.32,130548.66,72.5,11.1660,14.4525
10,0.05%,https://revert.finance/#/uniswap-position/mainnet/289026,7895.99,29.47,30.1,127893.22,77.8,12.2542,14.2801
11,0.30%,https://revert.finance/#/uniswap-position/mainnet/118202,33247.55,22.2,25.88,126303.29,424.9,14.0253,15.5314
12,0.30%,https://revert.finance/#/uniswap-position/mainnet/275551,11344.93,39.24,39.29,117532.2,89.8,12.4394,13.2086
13,0.30%,https://revert.finance/#/uniswap-position/mainnet/319784,2147.23,36.16,49.39,89831.64,23.9,13.6108,14.9822
14,0.30%,https://revert.finance/#/uniswap-position/mainnet/318685,1186.69,21.72,25.9,78746.54,25.3,12.9730,15.9086
15,0.05%,https://revert.finance/#/uniswap-position/mainnet/293755,2681.93,26.41,31.05,52696.29,69.7,12.3527,14.9523
16,0.30%,https://revert.finance/#/uniswap-position/mainnet/325057,568.64,22.51,26.22,51989.51,17.8,13.6928,15.5314
17,0.30%,https://revert.finance/#/uniswap-position/mainnet/327138,466.36,22.87,24.98,49922.14,14.9,13.8581,15.3461
18,0.30%,https://revert.finance/#/uniswap-position/mainnet/228176,4799.66,20.91,22.28,47570.56,177.1,12.3650,15.3461
19,0.05%,https://revert.finance/#/uniswap-position/mainnet/317608,1051.27,33.05,38.14,44017.35,26.3,13.3014,15.3922
20,0.30%,https://revert.finance/#/uniswap-position/mainnet/271863,2505.46,24.86,25.38,42322.04,86.9,12.1445,15.6248
21,0.30%,https://revert.finance/#/uniswap-position/mainnet/318423,524.05,20.22,24.22,36908.6,25.6,12.5143,15.6248
22,0.05%,https://revert.finance/#/uniswap-position/mainnet/219436,4389.16,23.59,23.82,33582.84,202.0,12.5268,13.6791
23,0.30%,https://revert.finance/#/uniswap-position/mainnet/317733,970.63,43.4,45.66,31160.76,26.2,13.6928,15.4384
24,0.30%,https://revert.finance/#/uniswap-position/mainnet/318678,589.21,28.74,35.07,29509.55,25.2,13.2086,15.3461
25,0.30%,https://revert.finance/#/uniswap-position/mainnet/42411,8688.9,21.81,22.36,28677.25,503.2,14.1947,16.6908
26,0.30%,https://revert.finance/#/uniswap-position/mainnet/320799,446.14,28.26,28.45,25286.01,22.8,14.2801,16.6908
27,0.30%,https://revert.finance/#/uniswap-position/mainnet/320603,271.22,20.75,21.04,20765.5,23.0,13.3681,16.6908
28,0.30%,https://revert.finance/#/uniswap-position/mainnet/320652,992.87,51.39,83.43,20456.03,33.5,14.3660,14.8926
